Duration,Start station number,End station number,Bike number,Member type
428,31200,31101,W00375,Member
447,31200,31101,W01001,Member
30534,31208,31208,W00766,Casual
2501,31201,31201,W00282,Casual
461,31108,31208,W00973,Member
30491,31208,31208,W00762,Casual
21340,31203,31203,W00896,Member
30281,31208,31208,W00061,Casual
476,31213,31228,W00899,Member
437,31222,31221,W00294,Member
905,31008,31002,W00409,Member
1149,31202,31103,W01091,Member
1895,31214,31218,W00665,Member
1870,31214,31218,W00803,Member
4545,31105,31606,W01113,Casual
1176,31402,31110,W00638,Member
14359,31101,31217,W01001,Casual
15664,31600,31600,W00614,Casual
183,31012,31002,W00824,Member
1856,31105,31613,W00471,Casual
945,31606,31604,W00556,Member
492,31607,31613,W00100,Member
139,31600,31620,W00280,Member
2877,31215,31217,W00826,Casual
83879,31110,31211,W00526,Casual
1184,31110,31211,W01062,Casual
878,31201,31401,W01068,Member
6159,31110,31104,W00242,Casual
373,31101,31200,W00375,Member
397,31105,31400,W00812,Member
2601,31110,31610,W00805,Casual
793,31216,31214,W00080,Casual
2576,31110,31610,W00545,Casual
16570,31219,31110,W00334,Casual
263,31400,31602,W00380,Member
812,31613,31606,W00955,Casual
2515,31003,31003,W01054,Casual
507,31221,31215,W01076,Member
403,31007,31010,W00260,Casual
682,31111,31602,W00338,Member
1575,31214,31620,W00449,Member
1573,31214,31620,W00508,Member
7056,31620,31216,W00224,Member
6991,31620,31216,W00017,Member
12132,31012,31012,W00344,Casual
7064,31218,31228,W00743,Casual
7070,31218,31228,W00538,Casual
664,31201,31216,W00597,Member
255,31401,31602,W00376,Member
667,31620,31217,W00280,Member
1146,31107,31228,W01019,Member
6878,31218,31228,W00485,Casual
2163,31110,31200,W01045,Member
678,31214,31205,W00080,Member
1101,31302,31302,w00583,Casual
699,31214,31216,W00884,Member
6480,31106,31228,W00172,Casual
5256,31215,31215,W00557,Casual
237,31608,31606,W00232,Member
1114,31401,31111,W01068,Member
4028,31610,31209,W00620,Casual
1251,31009,31009,W00366,Member
599,31111,31200,W00772,Member
6213,31106,31228,W00167,Casual
569,31111,31200,W00976,Member
3390,31213,31213,W00848,Casual
4956,31215,31215,W00861,Casual
6148,31106,31228,W00570,Casual
14375,31200,31200,W00288,Casual
2967,31215,31402,W00780,Member
554,31201,31111,W00889,Member
543,31201,31111,W00475,Member
8309,31204,31204,W00203,Casual
775,31201,31105,W00335,Member
778,31201,31105,W01015,Member
5640,31610,31610,W00399,Casual
699,31200,31101,W00599,Casual
4770,31215,31215,W00049,Casual
5599,31610,31610,W00566,Casual
8288,31204,31204,W00821,Casual
4793,31215,31215,W01076,Casual
304,31201,31223,W00282,Member
123,31013,31007,W00404,Member
2572,31608,31215,W00563,Casual
2549,31608,31215,W00185,Casual
1242,31217,31215,W01123,Member
14061,31200,31200,W00279,Casual
2337,31007,31219,W00986,Casual
314,31200,31205,W00975,Member
1961,31208,31600,W00973,Casual
257,31606,31608,W00232,Member
1883,31208,31600,W00647,Casual
2017,31215,31500,W00740,Member
1151,31613,31600,W00407,Casual
1062,31613,31600,W00471,Member
3289,31215,31215,W00048,Casual
12440,31201,31214,W01074,Casual
242,31602,31401,W00376,Member
841,31610,31604,W00129,Member
427,31213,31221,W00393,Casual
17802,31105,31600,W01015,Casual
771,31610,31604,W00101,Member
3501,31200,31604,W00976,Casual
6798,31205,31620,W00155,Casual
6678,31212,31212,W00621,Casual
17760,31105,31600,W00335,Casual
1023,31228,31101,W01023,Member
441,31103,31201,W01091,Member
6653,31205,31620,W00975,Casual
745,31200,31215,W00333,Member
882,31200,31215,W00181,Member
831,31613,31606,W00862,Casual
802,31613,31606,W00100,Casual
11671,31205,31228,W00146,Casual
720,31401,31214,W00302,Member
708,31200,31215,W00446,Member
5682,31100,31100,W01041,Casual
11585,31205,31228,W01122,Casual
828,31111,31200,W00475,Member
5655,31100,31100,W00430,Casual
551,31200,31101,W00772,Casual
11273,31204,31215,W00102,Member
1534,31108,31204,W00221,Casual
3793,31003,31219,W01054,Casual
906,31215,31200,W00596,Casual
3444,31200,31200,W00555,Casual
3675,31003,31219,W00739,Casual
994,31601,31610,W01065,Member
3773,31400,31218,W00829,Casual
3759,31400,31218,W00290,Casual
631,31221,31221,W00393,Casual
9496,31602,31206,W00338,Casual
3282,31200,31200,W00950,Casual
254,31201,31200,W01091,Member
536,31608,31108,W00851,Member
517,31608,31108,W00491,Casual
9330,31602,31206,W00380,Casual
810,31600,31214,W00471,Casual
847,31215,31101,W01123,Member
2513,31200,31217,W01045,Casual
2519,31200,31217,W01120,Casual
4074,31620,31206,W00833,Casual
7863,31215,31215,W00181,Casual
486,31108,31218,W00132,Member
2050,31215,31218,W00948,Member
804,31600,31200,W00647,Casual
7767,31215,31215,W00333,Casual
796,31600,31200,W00973,Casual
7376,31215,31228,W00446,Casual
1612,31205,31607,W00080,Member
1242,31101,31216,W00772,Member
7513,31600,31600,W00795,Casual
1491,31219,31219,W00986,Casual
5485,31215,31215,W00569,Casual
1308,31218,31200,W00524,Member
12911,31205,31205,W00122,Casual
7353,31215,31215,W01075,Casual
5361,31301,31219,W00850,Casual
3166,31110,31613,W00010,Casual
1199,31218,31200,W00356,Member
12796,31205,31205,W01112,Casual
5264,31301,31219,W01073,Casual
3281,31101,31219,W00599,Casual
816,31101,31216,W00267,Member
1602,31215,31206,W00060,Casual
1848,31110,31200,W01024,Casual
1546,31215,31206,W00185,Casual
544,31205,31214,W00905,Member
1418,31215,31206,W00563,Casual
315,31101,31201,W01123,Member
2028,31400,31200,W00707,Member
306,31101,31201,W01023,Member
1362,31215,31206,W00133,Casual
1772,31400,31603,W00812,Member
5041,31401,31600,W00984,Casual
1554,31600,31108,W00943,Casual
4397,31205,31620,W00377,Casual
4393,31205,31620,W00220,Casual
4963,31401,31600,W00077,Casual
539,31213,31200,W00848,Member
10523,31604,31604,W00101,Casual
2199,31219,31219,W00760,Casual
2175,31219,31219,W00143,Casual
369,31007,31009,W00404,Casual
357,31007,31009,W00134,Casual
3028,31205,31613,W00758,Casual
940,31221,31221,W00393,Casual
11920,31205,31205,W01084,Casual
2811,31205,31613,W00923,Casual
1243,31200,31222,W01091,Casual
1221,31200,31222,W00596,Member
1157,31600,31105,W00205,Casual
1047,31214,31205,W00471,Casual
503,31111,31200,W00796,Member
1083,31217,31610,W00341,Member
8042,31002,31205,W00824,Casual
7988,31002,31205,W00409,Casual
4764,31006,31004,W00853,Casual
9315,31600,31600,W00407,Casual
1427,31300,31602,W00389,Member
481,31208,31606,W00190,Member
4685,31006,31004,W00278,Casual
772,31302,31104,W00827,Member
598,31200,31110,W00848,Casual
593,31200,31110,W00973,Casual
836,31201,31200,W01023,Member
18396,31110,31215,W00137,Casual
630,31214,31100,W00302,Member
4429,31200,31300,W00796,Casual
4409,31200,31300,W00734,Casual
902,31111,31107,W01068,Casual
9232,31200,31200,W00356,Casual
1647,31215,31109,W00048,Casual
7028,31009,31011,W00366,Casual
9107,31200,31200,W00524,Casual
4835,31604,31222,W00354,Casual
400,31607,31613,W00438,Member
1184,31201,31219,W01123,Member
449,31111,31200,W00889,Member
775,31215,31214,W00049,Member
8508,31604,31600,W00556,Casual
529,31608,31608,W00232,Casual
410,31100,31214,W00302,Member
1983,31200,31203,W00927,Member
1681,31221,31220,W00393,Casual
532,31200,31211,W01023,Member
6315,31220,31106,W00042,Casual
6327,31220,31106,W00856,Casual
1879,31620,31500,W00671,Member
1821,31620,31500,W00492,Casual
3399,31219,31219,W01053,Casual
691,31604,31610,W00129,Member
2551,31606,31100,W00955,Casual
517,31011,31009,W00692,Casual
6807,31006,31006,W00978,Casual
5393,31219,31004,W00760,Casual
5393,31219,31004,W00986,Casual
1617,31606,31208,W00316,Casual
3429,31007,31215,W00648,Casual
6660,31603,31200,W00562,Member
537,31104,31200,W00242,Member
974,31200,31111,W00475,Member
991,31200,31111,W00375,Member
6621,31006,31006,W00119,Casual
3228,31007,31215,W00939,Casual
404,31204,31205,W00221,Member
470,31200,31215,W00707,Member
1877,31200,31215,W00555,Casual
1812,31200,31215,W00950,Casual
500,31107,31105,W01068,Member
536,31200,31215,W00889,Member
5802,31228,31228,W00172,Casual
5699,31228,31228,W00570,Casual
1099,31110,31102,W00848,Member
19297,31400,31400,W00370,Casual
1265,31205,31104,W00221,Member
1496,31200,31200,W01024,Casual
433,31606,31208,W01070,Member
442,31100,31215,W01041,Member
9881,31219,31212,W00280,Casual
4762,31214,31200,W00049,Casual
1904,31215,31214,W00707,Member
493,31110,31201,W00973,Member
3831,31105,31212,W00205,Casual
4583,31214,31200,W00905,Casual
334,31400,31400,W00411,Casual
1050,31206,31217,W00291,Casual
445,31200,31205,W00242,Casual
3721,31105,31212,W01068,Casual
1006,31206,31217,W00275,Casual
4659,31108,31108,W00851,Casual
4155,31613,31610,W00010,Casual
2747,31215,31215,W00861,Casual
2030,31215,31215,W00015,Casual
504,31228,31620,W01027,Casual
1611,31215,31214,W00889,Casual
11990,31008,31008,W00990,Casual
4504,31108,31108,W00491,Casual
2540,31215,31215,W01041,Casual
3117,31613,31613,W00438,Casual
3911,31613,31610,W01018,Casual
1884,31215,31215,W01076,Casual
1960,31208,31613,W00316,Casual
890,31607,31218,W00930,Member
2009,31217,31215,W01045,Casual
446,31607,31613,W01069,Member
5559,31200,31106,W00647,Casual
1966,31217,31215,W00401,Casual
11461,31228,31228,W00184,Casual
11460,31228,31228,W00538,Casual
250,31228,31620,W00058,Casual
964,31002,31008,W00959,Member
1345,31302,31200,W00018,Member
10156,31222,31205,W01050,Casual
1087,31610,31606,W01071,Casual
1130,31215,31215,W00555,Casual
776,31216,31201,W00772,Member
2122,31110,31215,W00968,Member
1206,31610,31217,W00399,Member
1224,31620,31214,W00518,Member
1226,31620,31214,W00878,Member
979,31215,31215,W00557,Casual
1548,31109,31503,W00332,Casual
185,31104,31106,W00221,Member
1488,31109,31503,W00048,Casual
585,31214,31202,W00302,Member
685,31111,31200,W00375,Member
6008,31010,31010,W01057,Casual
1110,31208,31613,W00351,Casual
997,31610,31108,W00624,Member
5913,31010,31010,W00996,Casual
236,31104,31106,W00228,Member
7620,31606,31613,W00804,Casual
180,31201,31202,W00479,Member
861,31201,31603,W00973,Casual
1423,31217,31613,W00291,Casual
856,31201,31603,W00772,Casual
428,31200,31213,W01024,Member
12115,31606,31606,W00862,Casual
1380,31217,31613,W00275,Casual
2149,31212,31212,W00864,Casual
2567,31212,31217,W00460,Casual
2453,31212,31217,W00621,Casual
2075,31204,31215,W00821,Casual
2317,31204,31215,W00203,Casual
396,31602,31104,W00389,Member
1480,31202,31220,W00302,Member
1494,31202,31220,W00479,Member
5084,31228,31228,W01093,Casual
1731,31216,31200,W01039,Member
1740,31216,31200,W00267,Member
721,31109,31110,W00156,Member
7576,31206,31205,W00094,Casual
7521,31206,31205,W00910,Casual
455,31220,31220,W00393,Casual
1204,31228,31110,W00446,Casual
1662,31217,31215,W00399,Member
1405,31206,31215,W00060,Member
3386,31218,31604,W00132,Member
7342,31206,31205,W00833,Casual
3375,31218,31604,W00803,Member
1446,31206,31604,W00563,Casual
1434,31206,31604,W01102,Casual
1369,31300,31216,W00734,Member
1379,31206,31604,W00133,Casual
1364,31206,31604,W00185,Casual
553,31106,31101,W00228,Member
647,31003,31003,W00749,Casual
1358,31200,31206,W00375,Casual
7820,31228,31228,W00485,Casual
6122,31002,31002,W00202,Casual
12383,31613,31613,W01069,Casual
13040,31013,31013,W00445,Casual
1519,31607,31217,W00397,Member
6084,31106,31106,W00221,Casual
5584,31228,31200,W01019,Casual
5580,31228,31200,W00167,Casual
845,31111,31221,W00475,Casual
4250,31104,31104,W00389,Casual
7334,31228,31228,W00945,Casual
7531,31215,31215,W00555,Casual
7518,31215,31215,W00648,Casual
1384,31620,31104,W00218,Member
3544,31005,31006,W00642,Casual
3456,31000,31003,W00067,Casual
1196,31215,31106,W00015,Member
3414,31005,31006,W00420,Casual
479,31001,31007,W01035,Member
500,31602,31109,W00318,Member
3354,31005,31006,W00088,Casual
1230,31215,31215,W01075,Casual
1087,31214,31214,W00878,Member
242,31214,31200,W00707,Member
1166,31215,31215,W00569,Casual
1154,31215,31215,W00401,Casual
7682,31610,31219,W00566,Member
3244,31005,31006,W00794,Casual
869,31219,31201,W01053,Member
744,31228,31201,W00439,Member
755,31228,31201,W01063,Member
821,31219,31201,W01123,Casual
479,31104,31200,W00827,Member
11620,31101,31101,W00228,Casual
686,31006,31000,W00274,Casual
6655,31206,31205,W01006,Casual
3700,31200,31200,W00267,Casual
1133,31200,31100,W01039,Member
344,31110,31221,W00519,Member
11507,31101,31101,W01059,Casual
1366,31005,31003,W00085,Member
3478,31200,31200,W00707,Casual
1171,31200,31602,W00049,Casual
6317,31206,31205,W00338,Casual
3372,31217,31604,W01001,Casual
4857,31217,31212,W00685,Casual
1678,31212,31215,W00864,Casual
358,31215,31100,W01076,Member
4271,31215,31604,W00333,Casual
1267,31007,31217,W01035,Member
1566,31212,31215,W00205,Casual
1394,31613,31503,W00438,Casual
1348,31613,31503,W00923,Member
1469,31212,31215,W01068,Casual
1742,31610,31217,W01018,Casual
1343,31220,31203,W00302,Member
1320,31220,31203,W00479,Member
755,31604,31200,W00111,Member
1646,31610,31217,W00963,Casual
1257,31613,31228,W00316,Member
1251,31613,31228,W00291,Member
355,31104,31104,W00218,Member
804,31215,31200,W00939,Casual
1262,31302,31300,w00583,Casual
1058,31212,31106,W00605,Member
763,31215,31200,W00203,Casual
2069,31214,31202,W00518,Member
2069,31214,31202,W00878,Member
12333,31219,31219,W00599,Casual
12249,31219,31219,W01073,Casual
800,31217,31607,W01012,Member
1893,31206,31001,W00380,Member
2807,31613,31205,W00351,Casual
181,31200,31212,W00905,Member
4707,31215,31215,W00569,Casual
4683,31215,31215,W01075,Casual
795,31104,31212,W00218,Casual
4681,31215,31215,W00821,Casual
12103,31219,31219,W00850,Casual
12005,31219,31219,W00143,Casual
6586,31613,31228,W00798,Casual
4127,31205,31200,W00409,Casual
986,31302,31300,W00039,Casual
1239,31100,31108,W01039,Member
5430,31600,31600,W00077,Casual
277,31602,31107,W00637,Member
1790,31214,31106,W01074,Member
3838,31100,31216,W00430,Casual
6446,31219,31200,W00961,Casual
493,31111,31201,W00294,Member
865,31200,31215,W00827,Casual
827,31200,31215,W00562,Casual
4011,31214,31200,W00889,Casual
6387,31219,31200,W00236,Casual
271,31215,31215,W00401,Casual
948,31216,31108,W00224,Member
2190,31215,31608,W01045,Casual
2177,31215,31608,W00399,Casual
1037,31215,31206,W00060,Member
4667,31613,31613,W00346,Casual
1469,31221,31228,W00747,Casual
4641,31613,31613,W00879,Casual
469,31003,31011,W00869,Member
5075,31600,31600,W00984,Casual
6054,31613,31228,W00336,Casual
1420,31604,31200,W00132,Casual
2198,31613,31205,W00883,Casual
5962,31613,31228,W00897,Casual
7578,31228,31600,W00570,Casual
8384,31111,31214,W00437,Casual
299,31228,31600,W00172,Casual
155,31201,31203,W01053,Member
7933,31111,31103,W00900,Casual
227,31228,31600,W01122,Casual
7083,31602,31103,W00049,Casual
7621,31608,31608,W00232,Casual
346,31007,31009,W00240,Casual
324,31613,31607,W00836,Member
918,31217,31613,W01035,Member
230,31009,31011,W00692,Casual
199,31009,31011,W00414,Casual
920,31610,31228,W00129,Member
288,31109,31202,W01029,Member
531,31107,31105,W00637,Member
193,31007,31011,W00534,Member
7259,31608,31608,W01066,Casual
279,31110,31214,W00446,Member
5634,31219,31219,W00969,Casual
5580,31219,31219,W00739,Casual
2406,31215,31215,W00827,Casual
2393,31215,31215,W00562,Casual
601,31202,31205,W00239,Member
1408,31217,31204,W01018,Casual
1319,31217,31204,W00963,Casual
462,31008,31011,W00307,Member
528,31106,31103,W00015,Member
717,31610,31613,W00010,Member
820,31201,31228,W01123,Casual
3019,31202,31202,W00312,Casual
7395,31107,31104,W00860,Casual
1340,31200,31111,W00111,Member
1350,31200,31111,W00356,Member
973,31206,31200,W00375,Casual
7344,31107,31104,W00069,Casual
909,31206,31221,W00018,Member
4841,31219,31228,W01054,Casual
590,31107,31101,W00612,Casual
4804,31219,31228,W01034,Casual
904,31206,31200,W00060,Casual
294,31110,31214,W00927,Member
1151,31228,31110,W00385,Member
4169,31218,31008,W00630,Casual
2764,31202,31202,W00301,Casual
4998,31208,31208,W00798,Casual
104,31108,31108,W00057,Member
3226,31106,31106,W00647,Casual
3935,31218,31008,W01031,Casual
1196,31213,31104,W01024,Member
415,31100,31214,W01076,Member
3124,31106,31106,W00042,Casual
4744,31208,31208,W01070,Casual
728,31228,31108,W00743,Member
751,31228,31108,W00261,Member
2907,31610,31610,W00416,Casual
4769,31215,31228,W00401,Casual
4158,31006,31006,W00088,Casual
4136,31006,31006,W00794,Casual
2133,31401,31208,W01002,Member
153,31200,31214,W00524,Member
590,31011,31002,W00366,Member
9771,31203,31203,W00479,Casual
1794,31201,31108,W00439,Casual
7423,31204,31204,W00963,Casual
3212,31613,31215,W00758,Casual
926,31214,31202,W00524,Member
3754,31212,31212,W00905,Casual
3159,31613,31215,W00010,Casual
578,31110,31221,W00156,Member
7294,31204,31204,W01018,Casual
270,31110,31200,W00334,Casual
1415,31200,31502,W00288,Member
4164,31215,31228,W00557,Casual
1391,31106,31220,W00856,Casual
1352,31106,31220,W01074,Casual
542,31214,31201,W01076,Member
796,31203,31106,W00302,Member
206,31003,31008,W00067,Member
1223,31101,31101,W00612,Casual
995,31607,31610,W00836,Casual
9251,31203,31203,W01053,Casual
3440,31610,31003,W00325,Member
227,31200,31221,W00267,Member
1789,31217,31215,W00165,Casual
4629,31600,31600,W00508,Casual
8115,31201,31201,W01063,Casual
1768,31217,31215,W00397,Casual
2716,31215,31200,W00864,Casual
1504,31012,31004,W00938,Member
1063,31228,31203,W00291,Casual
1274,31214,31602,W00927,Member
2537,31215,31200,W00562,Casual
2901,31217,31613,W01120,Casual
1751,31013,31013,W00169,Casual
1261,31215,31215,W00205,Casual
1262,31215,31215,W00827,Casual
2874,31217,31613,W00448,Casual
1176,31300,31200,W00039,Casual
668,31107,31201,W00392,Member
1139,31300,31200,W00796,Casual
6296,31215,31613,W01068,Casual
6277,31215,31613,W00861,Casual
1271,31302,31202,W00166,Member
480,31202,31214,W00447,Member
2373,31215,31200,W00102,Casual
2278,31215,31200,W01041,Casual
1311,31214,31602,W00446,Member
5972,31104,31103,W01024,Casual
565,31200,31101,W00060,Member
540,31200,31101,W00375,Member
1207,31613,31111,W01035,Member
4293,31200,31200,W00334,Casual
695,31212,31215,W00218,Casual
1679,31218,31203,W00930,Casual
2396,31201,31103,W00294,Casual
2128,31610,31400,W00150,Casual
2007,31610,31400,W00805,Casual
2102,31201,31103,W01076,Casual
2808,31215,31215,W00821,Casual
804,31216,31109,W00277,Casual
2779,31215,31215,W00181,Casual
5166,31208,31209,W01081,Casual
5158,31208,31209,W01002,Casual
6627,31013,31013,W00580,Casual
5219,31103,31103,W00015,Casual
1810,31107,31228,W00361,Member
6516,31013,31013,W00024,Casual
191,31011,31009,W00869,Casual
1040,31011,31009,W00414,Casual
4630,31101,31103,W00612,Casual
16726,31221,31221,W00018,Casual
4548,31221,31221,W00156,Casual
4553,31101,31103,W00375,Casual
1167,31200,31201,W01019,Casual
232,31004,31005,W00106,Member
3302,31604,31620,W00159,Casual
4718,31220,31220,W00773,Casual
4728,31220,31220,W00153,Casual
346,31200,31205,W00889,Member
348,31620,31228,W00768,Casual
3106,31604,31620,W00803,Casual
1268,31215,31217,W00397,Member
3262,31220,31003,W00970,Casual
3264,31220,31003,W00724,Casual
1656,31215,31101,W01075,Casual
1612,31215,31101,W00886,Member
1655,31215,31101,W00218,Casual
1310,31106,31215,W00042,Casual
1998,31613,31613,W00804,Casual
1221,31106,31215,W00647,Casual
572,31214,31222,W00447,Member
1212,31228,31222,W00768,Casual
6455,31009,31011,W00240,Casual
1890,31613,31613,W00879,Casual
20357,31215,31215,W00555,Casual
1870,31215,31217,W00648,Casual
852,31106,31214,W00221,Member
309,31203,31228,W00896,Member
7788,31110,31110,W00385,Casual
383,31108,31208,W00491,Member
437,31218,31108,W00948,Member
642,31503,31101,W00332,Casual
5146,31200,31105,W00167,Casual
568,31221,31214,W00337,Member
236,31107,31103,W00340,Member
5063,31200,31105,W00409,Casual
974,31602,31202,W00927,Member
1003,31602,31202,W00446,Casual
652,31201,31212,W00392,Casual
287,31200,31212,W00796,Member
1208,31109,31107,W00318,Member
1835,31201,31602,W01019,Casual
1164,31109,31107,W00277,Casual
1041,31606,31604,W00194,Casual
379,31216,31206,W01985,Member
58159,31013,31013,W00169,Casual
627,31401,31214,W00376,Member
1430,31205,31104,W00239,Casual
1454,31205,31228,W00883,Casual
1378,31205,31228,W01050,Casual
289,31011,31007,W00692,Member
305,31200,31221,W00707,Member
493,31003,31001,W00422,Member
834,31108,31610,W00624,Member
478,31212,31201,W00796,Member
595,31222,31221,W00768,Casual
2749,31202,31202,W00301,Casual
2748,31202,31202,W00524,Casual
961,31220,31212,W00777,Member
2803,31203,31203,W00930,Member
634,31228,31101,W00361,Member
3376,31009,31009,W00869,Casual
3403,31009,31009,W00509,Casual
2754,31200,31205,W00562,Casual
217,31200,31214,W00039,Member
546,31228,31201,W01034,Member
3601,31011,31013,W00307,Casual
176,31221,31212,W00768,Casual
169,31604,31600,W00101,Member
1012,31201,31103,W00796,Member
906,31602,31600,W01093,Member
4704,31205,31205,W00889,Casual
1480,31603,31101,W00812,Member
224,31212,31205,W00768,Casual
2203,31214,31214,W00376,Casual
2949,31608,31608,W01045,Casual
621,31221,31214,W00881,Member
1648,31217,31222,W00648,Casual
2034,31214,31214,W00337,Casual
2796,31608,31608,W00399,Casual
712,31600,31201,W00570,Member
1416,31206,31204,W01985,Casual
420,31219,31228,W00214,Member
233,31600,31228,W01015,Member
2522,31301,31205,W00082,Casual
479,31200,31101,W00939,Member
1644,31216,31216,W00017,Member
1280,31228,31613,W00798,Member
1278,31228,31613,W00401,Member
353,31002,31011,W00366,Member
1225,31202,31105,W00446,Casual
1128,31202,31105,W01029,Member
1443,31214,31111,W00881,Casual
472,31221,31110,W00707,Member
1788,31215,31204,W00205,Member
890,31103,31222,W00796,Member
891,31103,31222,W00900,Member
367,31221,31214,W00475,Member
274,31107,31104,W00318,Member
911,31101,31212,W00939,Member
280,31101,31214,W00332,Member
477,31203,31109,W00291,Member
1184,31200,31204,W00236,Casual
1909,31111,31215,W00111,Member
299,31110,31101,W00707,Member
1813,31111,31215,W00356,Member
1395,31105,31228,W00460,Member
1390,31105,31228,W00621,Member
1381,31604,31203,W00639,Casual
652,31201,31103,W00570,Member
1322,31604,31203,W00103,Casual
537,31222,31212,W00648,Casual
645,31201,31600,W01034,Member
767,31104,31106,W00860,Member
2780,31613,31214,W00448,Casual
910,31400,31110,W00150,Casual
2735,31613,31214,W01120,Casual
1751,31620,31106,W00270,Casual
1169,31101,31503,W00707,Casual
640,31100,31201,W00955,Member
1251,31620,31606,W00159,Casual
890,31302,31106,W00559,Member
335,31107,31104,W00277,Member
485,31503,31111,W00608,Member
806,31602,31228,W01019,Member
271,31106,31104,W00860,Member
513,31109,31101,W00291,Member
696,31212,31104,W00392,Casual
577,31200,31101,W00961,Member
631,31201,31107,W00955,Member
447,31205,31200,W00824,Casual
1694,31610,31101,W00545,Member
315,31101,31105,W00961,Member
644,31201,31105,W01063,Member
443,31103,31214,W00340,Casual
112,31228,31228,W01015,Member
529,31203,31600,W00639,Casual
524,31203,31600,W00930,Casual
242,31203,31214,W00103,Member
552,31200,31201,W00824,Member
869,31202,31401,W00927,Member
182,31007,31011,W00692,Member
3140,31215,31002,W00905,Casual
3091,31215,31002,W00758,Casual
444,31106,31103,W00997,Member
1424,31101,31200,W01059,Casual
1418,31203,31613,W01053,Casual
1109,31216,31603,W00017,Member
442,31105,31201,W01063,Member
955,31101,31200,W00291,Member
914,31205,31103,W00910,Member
201,31228,31600,W01015,Member
1936,31604,31203,W00563,Casual
1886,31604,31203,W00133,Casual
1875,31604,31203,W01001,Casual
1825,31604,31203,W00771,Casual
261,31602,31107,W00747,Member
263,31602,31107,W00316,Member
6447,31104,31104,W00069,Casual
170,31104,31106,W00392,Member
699,31101,31228,W00060,Member
630,31205,31202,W00338,Member
315,31200,31110,W00203,Member
1074,31613,31217,W00346,Member
422,31606,31601,W00862,Casual
5075,31105,31105,W00637,Casual
391,31104,31107,W00318,Member
388,31104,31107,W00239,Member
799,31105,31503,W00167,Member
556,31400,31111,W00805,Member
217,31106,31104,W01122,Member
4878,31105,31105,W00409,Casual
701,31101,31604,W00218,Member
317,31200,31200,W00132,Member
589,31106,31105,W00115,Member
266,31111,31202,W00805,Member
968,31201,31104,W01063,Member
312,31110,31200,W00150,Member
1779,31217,31005,W00346,Member
425,31103,31111,W00570,Member
543,31200,31215,W00132,Member
858,31610,31219,W00341,Member
458,31104,31201,W01122,Member
256,31106,31104,W00392,Member
924,31201,31110,W00824,Casual
6160,31228,31228,W00945,Casual
9055,31203,31203,W00133,Casual
221,31214,31203,W00103,Member
239,31601,31601,W00510,Member
194,31601,31601,W00281,Member
949,31011,31011,W00366,Member
343,31208,31108,W00491,Member
399,31105,31104,W00115,Casual
774,31200,31101,W00334,Member
6603,31219,31219,W00183,Casual
6560,31219,31219,W00969,Casual
6433,31219,31219,W00566,Casual
853,31214,31401,W00332,Member
297,31228,31228,W00460,Member
821,31228,31212,W00621,Member
365,31200,31110,W00150,Member
434,31104,31200,W01063,Casual
1201,31105,31221,W00961,Member
352,31104,31200,W00115,Casual
411,31111,31105,W01035,Member
528,31107,31101,W00316,Member
521,31107,31101,W00747,Member
530,31203,31228,W00563,Member
610,31600,31203,W00335,Casual
587,31600,31203,W00101,Casual
431,31000,31010,W00274,Member
295,31203,31111,W00103,Member
1866,31613,31101,W00879,Casual
288,31106,31104,W00559,Member
1040,31212,31602,W00939,Member
402,31110,31201,W00385,Casual
798,31228,31214,W00214,Member
538,31105,31109,W00446,Member
2108,31212,31401,W00685,Member
1489,31203,31604,W01001,Casual
1470,31203,31604,W00101,Casual
107,31012,31012,W00344,Member
9648,31212,31104,W00280,Casual
312,31602,31101,W00939,Member
257,31001,31005,W00380,Member
1300,31204,31606,W01018,Casual
485,31215,31200,W00647,Member
1075,31104,31300,W00069,Member
2177,31101,31610,W00545,Member
1036,31104,31300,W00860,Casual
200,31101,31203,W00879,Member
490,31201,31212,W01122,Member
177,31103,31104,W00997,Member
215,31202,31111,W00805,Member
1267,31228,31107,W00127,Member
983,31604,31203,W01001,Casual
959,31604,31203,W00101,Casual
7453,31215,31212,W00111,Casual
949,31219,31610,W00341,Member
407,31010,31011,W00274,Member
1232,31603,31603,W00772,Casual
990,31603,31603,W00342,Casual
389,31216,31101,W00597,Member
320,31503,31109,W00819,Member
510,31205,31214,W00082,Casual
1513,31218,31205,W00290,Casual
1505,31218,31205,W00665,Casual
219,31104,31106,W00997,Member
549,31104,31207,W00277,Member
359,31205,31221,W01006,Member
316,31107,31105,W00333,Member
252,31103,31107,W00049,Casual
453,31200,31101,W01063,Member
702,31101,31107,W01075,Member
706,31101,31107,W00886,Member
618,31620,31203,W00755,Member
1084,31503,31503,W00167,Member
822,31201,31105,W00385,Member
333,31111,31203,W00103,Member
969,31604,31104,W00482,Casual
1705,31003,31202,W00749,Member
407,31111,31223,W00881,Casual
1268,31101,31101,W01063,Member
362,31221,31205,W00519,Member
706,31111,31216,W00570,Member
691,31111,31216,W00608,Member
10152,31104,31106,W00482,Casual
1216,31111,31108,W00805,Member
9809,31104,31106,W00559,Casual
9330,31104,31106,W00280,Casual
755,31215,31201,W00968,Member
37805,31603,31603,W00973,Casual
218,31101,31202,W01063,Member
747,31105,31213,W00955,Casual
5420,31305,31305,W00193,Casual
221,31109,31503,W00819,Member
417,31103,31101,W00294,Member
